loss -> tensor(1.1245, grad_fn=<AddBackward0>)
loss -> tensor(1.0922, grad_fn=<AddBackward0>)
loss -> tensor(1.0466, grad_fn=<AddBackward0>)
loss -> tensor(0.8938, grad_fn=<AddBackward0>)
loss -> tensor(1.1251, grad_fn=<AddBackward0>)
loss -> tensor(0.9042, grad_fn=<AddBackward0>)
loss -> tensor(1.2799, grad_fn=<AddBackward0>)
loss -> tensor(0.7287, grad_fn=<AddBackward0>)
loss -> tensor(0.6, grad_fn=<AddBackward0>)
loss -> tensor(1.0702, grad_fn=<AddBackward0>)
loss -> tensor(1.1102, grad_fn=<AddBackward0>)
loss -> tensor(0.8654, grad_fn=<AddBackward0>)
loss -> tensor(0.8346, grad_fn=<AddBackward0>)
loss -> tensor(0.9066, grad_fn=<AddBackward0>)
loss -> tensor(1.2469, grad_fn=<AddBackward0>)
loss -> tensor(1.2582, grad_fn=<AddBackward0>)
loss -> tensor(1.258, grad_fn=<AddBackward0>)
loss -> tensor(0.9736, grad_fn=<AddBackward0>)
loss -> tensor(0.9937, grad_fn=<AddBackward0>)
loss -> tensor(0.6744, grad_fn=<AddBackward0>)
loss -> tensor(1.2172, grad_fn=<AddBackward0>)
loss -> tensor(1.0127, grad_fn=<AddBackward0>)
loss -> tensor(0.9863, grad_fn=<AddBackward0>)
loss -> tensor(0.6893, grad_fn=<AddBackward0>)
loss -> tensor(0.7556, grad_fn=<AddBackward0>)
loss -> tensor(1.0587, grad_fn=<AddBackward0>)
loss -> tensor(1.1344, grad_fn=<AddBackward0>)
loss -> tensor(0.9073, grad_fn=<AddBackward0>)
loss -> tensor(1.284, grad_fn=<AddBackward0>)
loss -> tensor(0.6573, grad_fn=<AddBackward0>)
loss -> tensor(1.1172, grad_fn=<AddBackward0>)
loss -> tensor(0.8834, grad_fn=<AddBackward0>)
loss -> tensor(1.1141, grad_fn=<AddBackward0>)
loss -> tensor(0.9982, grad_fn=<AddBackward0>)
loss -> tensor(1.131, grad_fn=<AddBackward0>)
loss -> tensor(0.6669, grad_fn=<AddBackward0>)
loss -> tensor(0.817, grad_fn=<AddBackward0>)
loss -> tensor(1.1344, grad_fn=<AddBackward0>)
loss -> tensor(0.6274, grad_fn=<AddBackward0>)
loss -> tensor(0.8644, grad_fn=<AddBackward0>)
loss -> tensor(0.8698, grad_fn=<AddBackward0>)
loss -> tensor(0.6282, grad_fn=<AddBackward0>)
loss -> tensor(1.0724, grad_fn=<AddBackward0>)
loss -> tensor(1.102, grad_fn=<AddBackward0>)
loss -> tensor(0.9575, grad_fn=<AddBackward0>)
loss -> tensor(0.6901, grad_fn=<AddBackward0>)
loss -> tensor(1.2333, grad_fn=<AddBackward0>)
loss -> tensor(0.9717, grad_fn=<AddBackward0>)
loss -> tensor(0.8608, grad_fn=<AddBackward0>)
loss -> tensor(0.6716, grad_fn=<AddBackward0>)
loss -> tensor(1.2185, grad_fn=<AddBackward0>)
loss -> tensor(0.6555, grad_fn=<AddBackward0>)
loss -> tensor(0.6272, grad_fn=<AddBackward0>)
loss -> tensor(0.782, grad_fn=<AddBackward0>)
loss -> tensor(1.1538, grad_fn=<AddBackward0>)
loss -> tensor(1.0041, grad_fn=<AddBackward0>)
loss -> tensor(0.6608, grad_fn=<AddBackward0>)
loss -> tensor(0.651, grad_fn=<AddBackward0>)
loss -> tensor(0.9629, grad_fn=<AddBackward0>)
loss -> tensor(0.7895, grad_fn=<AddBackward0>)
loss -> tensor(0.6512, grad_fn=<AddBackward0>)
loss -> tensor(1.1847, grad_fn=<AddBackward0>)
loss -> tensor(0.715, grad_fn=<AddBackward0>)
loss -> tensor(0.6155, grad_fn=<AddBackward0>)
loss -> tensor(1.2296, grad_fn=<AddBackward0>)
loss -> tensor(0.6032, grad_fn=<AddBackward0>)
loss -> tensor(1.2127, grad_fn=<AddBackward0>)
loss -> tensor(0.9621, grad_fn=<AddBackward0>)
loss -> tensor(1.1366, grad_fn=<AddBackward0>)
loss -> tensor(1.1376, grad_fn=<AddBackward0>)
loss -> tensor(1.2839, grad_fn=<AddBackward0>)
loss -> tensor(1.16, grad_fn=<AddBackward0>)
loss -> tensor(1.2873, grad_fn=<AddBackward0>)
loss -> tensor(1.1089, grad_fn=<AddBackward0>)
loss -> tensor(0.8312, grad_fn=<AddBackward0>)
loss -> tensor(0.7989, grad_fn=<AddBackward0>)
loss -> tensor(0.7181, grad_fn=<AddBackward0>)
loss -> tensor(1.1207, grad_fn=<AddBackward0>)
loss -> tensor(1.2077, grad_fn=<AddBackward0>)
loss -> tensor(0.6819, grad_fn=<AddBackward0>)
loss -> tensor(0.7277, grad_fn=<AddBackward0>)
loss -> tensor(0.7616, grad_fn=<AddBackward0>)
loss -> tensor(1.184, grad_fn=<AddBackward0>)
loss -> tensor(0.734, grad_fn=<AddBackward0>)
loss -> tensor(0.6084, grad_fn=<AddBackward0>)
loss -> tensor(0.7355, grad_fn=<AddBackward0>)
loss -> tensor(1.0944, grad_fn=<AddBackward0>)
loss -> tensor(0.7073, grad_fn=<AddBackward0>)
loss -> tensor(0.8818, grad_fn=<AddBackward0>)
loss -> tensor(0.7451, grad_fn=<AddBackward0>)
loss -> tensor(0.6867, grad_fn=<AddBackward0>)
loss -> tensor(1.1869, grad_fn=<AddBackward0>)
loss -> tensor(0.9241, grad_fn=<AddBackward0>)
